,K,EVI,AUX1
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,0
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,0,0,0
273,0,0,0
274,0,0,0
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,300,0.01853,0.000761
301,301,0.019927,0.000875
302,302,0.023613,0.001205
303,303,0.024651,0.001309
304,304,0.026626,0.001517
305,305,0.028375,0.001717
306,306,0.025772,0.001366
307,307,0.029074,0.001731
308,308,0.032617,0.002159
309,309,0.032245,0.002115
310,310,0.033987,0.002336
311,311,0.020713,0.000864
312,312,0.023304,0.001087
313,313,0.024462,0.001189
314,314,0.026008,0.001339
315,315,0.023345,0.001087
316,316,0.019694,0.00078
317,317,0.023301,0.001085
318,318,0.020452,0.000845
319,319,0.022255,0.000996
320,320,0.024312,0.001183
321,321,0.024867,0.001229
322,322,0.02512,0.001254
323,323,0.024778,0.001223
324,324,0.024917,0.001237
325,325,0.024506,0.001203
326,326,0.020594,0.000861
327,327,0.023387,0.001099
328,328,0.020616,0.000865
329,329,0.023733,0.001189
330,330,0.024308,0.001248
331,331,0.024445,0.001265
332,332,0.024055,0.001229
333,333,0.015904,0.00053
334,334,0.018435,0.000711
335,335,0.020834,0.000903
336,336,0.022505,0.00105
337,337,0.025167,0.001308
338,338,0.024118,0.001207
339,339,0.023616,0.001159
340,340,0.026197,0.00141
341,341,0.0293,0.001757
342,342,0.028894,0.001711
343,343,0.026961,0.001497
344,344,0.030537,0.001902
345,345,0.031817,0.002029
346,346,0.034746,0.002405
347,347,0.036978,0.002702
348,348,0.038587,0.002929
349,349,0.039664,0.00309
350,350,0.042791,0.003435
351,351,0.045833,0.003794
352,352,0.049935,0.004473
353,353,0.045138,0.003721
354,354,0.043351,0.003623
355,355,0.044612,0.003839
356,356,0.04769,0.004362
357,357,0.051925,0.004991
358,358,0.048217,0.004298
359,359,0.049734,0.004543
360,360,0.046263,0.003968
361,361,0.048267,0.004304
362,362,0.05048,0.004622
363,363,0.040188,0.003006
364,364,0.038162,0.002727
365,365,0.041038,0.003151
366,366,0.036332,0.002497
367,367,0.024341,0.001153
368,368,0.026229,0.001339
369,369,0.022186,0.000969
370,370,0.023294,0.001066
371,371,0.025862,0.001306
372,372,0.022295,0.00098
373,373,0.014455,0.000422
374,374,0.016088,0.000518
375,375,0.010244,0.000214
376,376,0.011655,0.000278
377,377,0.009583,0.000189
378,378,0.009855,0.000202
379,379,0.010445,0.000226
380,380,0.012254,0.000311
381,381,0.013047,0.000351
382,382,0.013678,0.000381
383,383,0.011728,0.000282
384,384,0.014098,0.000405
385,385,0.013025,0.000347
386,386,0.01537,0.000483
387,387,0.010871,0.000238
388,388,0.011211,0.000254
389,389,0.012123,0.000297
390,390,0.006162,0.000078
391,391,0.003869,0.000031
392,392,0.005449,0.000064
393,393,0.008244,0.000145
394,394,0.006551,0.000092
395,395,0.008608,0.000158
396,396,0.009185,0.000181
397,397,0.009962,0.000212
398,398,0.011875,0.0003
399,399,0.010265,0.000225
400,400,0.008493,0.000155
401,401,0.007869,0.000133
402,402,0.007885,0.000134
403,403,0.004526,0.000044
404,404,0.004009,0.000035
405,405,0.005438,0.000064
406,406,0.005061,0.000056
407,407,0.006564,0.000093
408,408,0.007909,0.000136
409,409,0.009069,0.000178
410,410,0.010142,0.000222
411,411,0.005071,0.000056
412,412,0.002251,0.000011
413,413,0.003241,0.000023
414,414,0.00159,0.000005
415,415,0.004195,0.000038
416,416,0.005241,0.000059
417,417,0.006381,0.000088
418,418,0.006551,0.000093
419,419,-0.001837,0.000007
420,420,-0.001837,0.000007
421,421,-0.007205,0.000118
422,422,-0.011687,0.000315
423,423,-0.01456,0.000491
424,424,-0.012726,0.000375
425,425,-0.012324,0.000355
426,426,-0.017151,0.000695
427,427,-0.015949,0.000601
428,428,-0.020014,0.000948
429,429,-0.018645,0.000821
430,430,-0.016368,0.000629
431,431,-0.01531,0.000549
432,432,-0.013988,0.000457
433,433,-0.011496,0.000308
434,434,-0.012473,0.000366
435,435,-0.010883,0.000277
436,436,-0.009888,0.00022
437,437,-0.008737,0.000172
438,438,-0.007377,0.000122
439,439,-0.008716,0.000172
440,440,-0.006623,0.000099
441,441,-0.006038,0.000082
442,442,-0.00493,0.000055
443,443,-0.009686,0.000214
444,444,-0.011892,0.000325
445,445,-0.009725,0.000215
446,446,-0.007696,0.000135
447,447,-0.005737,0.000074
448,448,-0.006668,0.0001
449,449,-0.005752,0.000075
450,450,-0.00535,0.000065
451,451,-0.005409,0.000066
452,452,-0.003432,0.000027
453,453,-0.00165,0.000006
454,454,-0.00165,0.000006
455,455,-0.00165,0.000006
456,456,-0.00165,0.000006
457,457,-0.0019,0.000009
458,458,-0.0019,0.000009
459,459,-0.011527,0.000329
460,460,-0.014816,0.000548
461,461,-0.016682,0.000698
462,462,-0.016377,0.000673
463,463,-0.019056,0.000917
464,464,-0.018003,0.000816
465,465,-0.01854,0.000868
466,466,-0.016796,0.00071
467,467,-0.016763,0.000709
468,468,-0.01476,0.000547
469,469,-0.013449,0.000453
470,470,-0.01117,0.00031
471,471,-0.009195,0.000209
472,472,-0.007722,0.000145
473,473,-0.006252,0.000094
474,474,-0.006124,0.000091
475,475,-0.006663,0.000104
476,476,-0.005183,0.000061
477,477,-0.005183,0.000061
478,478,-0.005183,0.000061
479,479,-0.007651,0.000134
480,480,-0.007651,0.000134
481,481,-0.005505,0.000069
482,482,-0.012158,0.000344
483,483,-0.010679,0.000265
484,484,-0.009292,0.0002
485,485,-0.007181,0.000119
486,486,-0.006275,0.000091
487,487,-0.005304,0.000065
488,488,-0.003594,0.00003
489,489,-0.012145,0.000359
490,490,-0.010758,0.000281
491,491,-0.009398,0.000214
492,492,-0.013936,0.000475
493,493,-0.012229,0.000366
494,494,-0.010968,0.000296
495,495,-0.010321,0.000261
496,496,-0.013461,0.000448
497,497,-0.012012,0.000358
498,498,-0.015023,0.000565
499,499,-0.013138,0.00043
500,500,-0.012,0.000356
501,501,-0.010191,0.000256
502,502,-0.009031,0.0002
503,503,-0.007769,0.000148
504,504,-0.007119,0.000123
505,505,-0.010685,0.00028
506,506,-0.009529,0.000215
507,507,-0.008385,0.000166
508,508,-0.006951,0.000114
509,509,-0.006951,0.000114
510,510,-0.006951,0.000114
511,511,-0.003538,0.000029
512,512,-0.003538,0.000029
513,513,-0.003538,0.000029
514,514,0.00321,0.000024
515,515,0.00321,0.000024
516,516,0.003143,0.000024
517,517,0.004594,0.00005
518,518,0.003358,0.000027
519,519,0.004116,0.00004
520,520,0.004116,0.00004
521,521,0.004116,0.00004
522,522,0.004116,0.00004
523,523,0.002588,0.000016
524,524,0.002588,0.000016
525,525,0.002588,0.000016
526,526,0.002588,0.000016
527,527,0.002588,0.000016
528,528,0.002471,0.000015
529,529,0.002202,0.000012
530,530,0.002202,0.000012
531,531,0.003424,0.000028
532,532,0.005062,0.000061
533,533,0.001337,0.000004
534,534,0.002921,0.00002
535,535,0.003428,0.000028
536,536,0.004511,0.000049
537,537,0.005497,0.000072
538,538,0.002403,0.000014
539,539,0.004078,0.00004
540,540,0.003794,0.000034
541,541,0.003887,0.000036
542,542,0.004868,0.000056
543,543,0.001656,0.000007
544,544,0.003997,0.000038
545,545,0.005247,0.000065
546,546,0.005003,0.000059
547,547,0.004739,0.000053
548,548,0.005502,0.000072
549,549,0.006783,0.000108
550,550,0.006704,0.000106
551,551,0.008106,0.000154
552,552,0.007408,0.000129
553,553,0.008689,0.000177
554,554,0.008507,0.00017
555,555,0.008838,0.000183
556,556,0.008362,0.000162
557,557,0.009138,0.000194
558,558,0.010211,0.000239
559,559,0.009464,0.0002
560,560,0.00709,0.000113
561,561,0.008665,0.000168
562,562,0.003827,0.000033
563,563,0.003656,0.00003
564,564,0.003923,0.000035
565,565,0.003891,0.000034
566,566,0.003319,0.000025
567,567,0.004141,0.000039
568,568,0.005358,0.000065
569,569,0.002917,0.000019
570,570,0.001667,0.000006
571,571,0.002705,0.000016
572,572,0.004432,0.000043
573,573,0.004066,0.000037
574,574,0.004145,0.000037
575,575,0.004145,0.000037
576,576,0.001722,0.000006
577,577,0.001722,0.000006
578,578,0.002266,0.000011
579,579,0.002679,0.000016
580,580,0.004523,0.000043
581,581,0.005563,0.000066
582,582,0.002277,0.000011
583,583,0.001551,0.000005
584,584,0.002511,0.000013
585,585,0.003818,0.000031
586,586,0.004734,0.000048
587,587,0.004239,0.000039
588,588,0.005713,0.00007
589,589,0.007376,0.000116
590,590,0.003212,0.000022
591,591,0.003815,0.000031
592,592,0.004253,0.000039
593,593,0.005071,0.000055
594,594,0.005775,0.000072
595,595,0.005755,0.000071
596,596,0.006978,0.000104
597,597,0.00783,0.000131
598,598,0.005559,0.000067
599,599,0.004596,0.000046
600,600,0.005926,0.000076
601,601,0.007541,0.000123
602,602,0.009143,0.000181
603,603,0.006716,0.000098
604,604,0.007044,0.000108
605,605,0.004883,0.000052
606,606,0.005648,0.00007
607,607,0.005568,0.000068
608,608,0.005504,0.000066
609,609,0.005504,0.000066
610,610,0.00123,0.000003
611,611,0.00123,0.000003
612,612,0.00123,0.000003
613,613,0.001683,0.000006
614,614,0.003381,0.000025
615,615,0.005045,0.000054
616,616,0.006114,0.000079
617,617,0.007957,0.000134
618,618,0.009067,0.000173
619,619,0.010161,0.000217
620,620,0.010587,0.000236
621,621,0.012025,0.000302
622,622,0.011188,0.000262
623,623,0.01287,0.000346
624,624,0.014152,0.000418
625,625,0.015273,0.000486
626,626,0.014496,0.00044
627,627,0.015597,0.000508
628,628,0.016507,0.000569
629,629,0.017781,0.000682
630,630,0.019442,0.000812
631,631,0.020769,0.000925
632,632,0.022135,0.001045
633,633,0.021965,0.001031
634,634,0.022237,0.001056
635,635,0.022427,0.001074
636,636,0.02348,0.001174
637,637,0.024964,0.001325
638,638,0.026652,0.001506
639,639,0.028598,0.001727
640,640,0.028983,0.001774
641,641,0.030327,0.001936
642,642,0.026101,0.001448
643,643,0.023409,0.001164
644,644,0.025692,0.001396
645,645,0.026487,0.00148
646,646,0.027727,0.001618
647,647,0.026918,0.001527
648,648,0.027622,0.001604
649,649,0.02589,0.001421
650,650,0.026867,0.001529
651,651,0.025921,0.001429
652,652,0.026927,0.001536
653,653,0.028439,0.001711
654,654,0.028849,0.001763
655,655,0.027498,0.001617
656,656,0.027888,0.001663
657,657,0.027257,0.001592
658,658,0.028366,0.001724
659,659,0.028083,0.00169
660,660,0.027959,0.001677
661,661,0.027956,0.001678
662,662,0.029601,0.001875
663,663,0.029666,0.001889
664,664,0.030493,0.001993
665,665,0.031489,0.002121
666,666,0.031881,0.002172
667,667,0.030118,0.001946
668,668,0.030346,0.001964
669,669,0.031401,0.002103
670,670,0.032912,0.002304
671,671,0.032764,0.00223
672,672,0.030664,0.001962
673,673,0.030796,0.001979
674,674,0.028154,0.001664
675,675,0.029034,0.001769
676,676,0.02856,0.001714
677,677,0.028538,0.001714
678,678,0.028839,0.00175
679,679,0.030065,0.001893
680,680,0.028128,0.001671
681,681,0.028922,0.00176
682,682,0.030222,0.001919
683,683,0.031827,0.002133
684,684,0.032143,0.002174
685,685,0.033146,0.002308
686,686,0.027142,0.001565
687,687,0.027228,0.001575
688,688,0.028687,0.001729
689,689,0.029845,0.001863
690,690,0.025059,0.001328
691,691,0.025421,0.001366
692,692,0.025245,0.001345
693,693,0.026459,0.001455
694,694,0.027166,0.001532
695,695,0.028599,0.001692
696,696,0.029848,0.001838
697,697,0.029751,0.001818
698,698,0.028875,0.001717
699,699,0.029684,0.001809
700,700,0.031422,0.00202
701,701,0.031788,0.002065
702,702,0.03176,0.002064
703,703,0.032713,0.002186
704,704,0.034464,0.002407
705,705,0.034573,0.002427
706,706,0.035656,0.002659
707,707,0.037466,0.002926
708,708,0.038969,0.003155
709,709,0.040821,0.003451
710,710,0.041332,0.003535
711,711,0.042926,0.003801
712,712,0.043765,0.003947
713,713,0.045355,0.004229
714,714,0.043992,0.004
715,715,0.044936,0.004167
716,716,0.042211,0.003702
717,717,0.043336,0.0039
718,718,0.045064,0.004199
719,719,0.046408,0.00442
720,720,0.047382,0.004565
721,721,0.049084,0.004883
722,722,0.050444,0.005162
723,723,0.051954,0.005459
724,724,0.053473,0.005772
725,725,0.052718,0.005626
726,726,0.053505,0.005802
727,727,0.055043,0.006119
728,728,0.055362,0.006191
729,729,0.056335,0.006405
730,730,0.057191,0.006601
731,731,0.058341,0.006854
732,732,0.060153,0.007304
733,733,0.061658,0.007678
734,734,0.063051,0.00799
735,735,0.063734,0.008159
736,736,0.064268,0.008301
737,737,0.062159,0.007768
738,738,0.062974,0.007995
739,739,0.064068,0.00826
740,740,0.066094,0.008767
741,741,0.064185,0.0083
742,742,0.061911,0.007758
743,743,0.063064,0.008013
744,744,0.063277,0.008068
745,745,0.060869,0.007515
746,746,0.061912,0.007588
747,747,0.059833,0.007089
748,748,0.060999,0.007327
749,749,0.06248,0.00768
750,750,0.062269,0.007622
751,751,0.063377,0.007871
752,752,0.060357,0.007163
753,753,0.059776,0.007071
754,754,0.059647,0.007044
755,755,0.060303,0.007164
756,756,0.055624,0.006139
757,757,0.050595,0.005132
758,758,0.052029,0.005413
759,759,0.050301,0.005078
760,760,0.051398,0.005275
761,761,0.049774,0.004997
762,762,0.049687,0.004923
763,763,0.050352,0.005027
764,764,0.050062,0.004983
765,765,0.050824,0.005129
766,766,0.052146,0.005387
767,767,0.049565,0.004894
768,768,0.050939,0.005163
769,769,0.051096,0.005193
770,770,0.050687,0.005128
771,771,0.05151,0.005284
772,772,0.050543,0.005109
773,773,0.050539,0.005098
774,774,0.048691,0.004761
775,775,0.048705,0.004781
776,776,0.047024,0.004471
777,777,0.04207,0.00361
778,778,0.042646,0.003711
779,779,0.044001,0.003938
780,780,0.042885,0.003739
781,781,0.043077,0.003773
782,782,0.043182,0.003809
783,783,0.042011,0.003614
784,784,0.039441,0.003205
785,785,0.04013,0.003312
786,786,0.039014,0.003148
787,787,0.040503,0.003379
788,788,0.041717,0.003548
789,789,0.041932,0.003572
790,790,0.041843,0.003558
791,791,0.043223,0.003777
792,792,0.043321,0.003804
793,793,0.043896,0.003897
794,794,0.045254,0.004131
795,795,0.047068,0.004463
796,796,0.048068,0.004651
797,797,0.049247,0.004875
798,798,0.048188,0.004682
799,799,0.047149,0.004515
800,800,0.045507,0.004222
801,801,0.046115,0.004238
802,802,0.044783,0.004012
803,803,0.042072,0.00357
804,804,0.043399,0.003789
805,805,0.040243,0.00328
806,806,0.04171,0.003514
807,807,0.042321,0.003718
808,808,0.043349,0.003879
809,809,0.041132,0.003485
810,810,0.042224,0.003672
811,811,0.043296,0.00385
812,812,0.043916,0.003959
813,813,0.043182,0.003835
814,814,0.043863,0.003872
815,815,0.039945,0.003237
816,816,0.038607,0.003023
817,817,0.035951,0.002652
818,818,0.03674,0.002784
819,819,0.03647,0.002741
820,820,0.035247,0.00256
821,821,0.035714,0.002626
822,822,0.036239,0.002696
823,823,0.037061,0.002815
824,824,0.037197,0.002837
825,825,0.034073,0.002398
826,826,0.033361,0.002303
827,827,0.034793,0.002497
828,828,0.035455,0.002586
829,829,0.034275,0.002407
830,830,0.028696,0.001711
831,831,0.029213,0.00177
832,832,0.030636,0.00194
833,833,0.027699,0.001598
834,834,0.026592,0.001467
835,835,0.02745,0.001572
836,836,0.026364,0.001454
837,837,0.025966,0.001411
838,838,0.025225,0.001335
839,839,0.025863,0.001404
840,840,0.024893,0.001303
841,841,0.026086,0.001428
842,842,0.024698,0.001284
843,843,0.026152,0.001436
844,844,0.023939,0.00121
845,845,0.02313,0.001131
846,846,0.023823,0.001199
847,847,0.024124,0.001231
848,848,0.025131,0.001334
849,849,0.025418,0.001364
850,850,0.02306,0.001129
851,851,0.024039,0.001211
852,852,0.025285,0.001337
853,853,0.025178,0.00133
854,854,0.026336,0.001455
855,855,0.027551,0.001588
856,856,0.028992,0.001759
857,857,0.028276,0.001676
858,858,0.029273,0.001793
859,859,0.029171,0.001781
860,860,0.030219,0.001912
861,861,0.031219,0.002044
862,862,0.028494,0.001713
863,863,0.029008,0.001775
864,864,0.029539,0.001839
865,865,0.030203,0.001915
866,866,0.029436,0.001824
867,867,0.03042,0.001946
868,868,0.03016,0.001914
869,869,0.030657,0.001956
870,870,0.029543,0.001814
871,871,0.030191,0.001855
872,872,0.031591,0.002019
873,873,0.032254,0.002101
874,874,0.032026,0.002077
875,875,0.033367,0.002246
876,876,0.033652,0.002289
877,877,0.033771,0.002306
878,878,0.033881,0.002322
879,879,0.032553,0.002136
880,880,0.033484,0.002256
881,881,0.034365,0.002375
882,882,0.035054,0.002471
883,883,0.036052,0.002604
884,884,0.036856,0.002718
885,885,0.034165,0.002347
886,886,0.03402,0.002324
887,887,0.034166,0.002346
888,888,0.035118,0.002472
889,889,0.035501,0.002527
890,890,0.035766,0.002568
891,891,0.035763,0.002576
892,892,0.034449,0.002394
893,893,0.032498,0.00214
894,894,0.033711,0.002298
895,895,0.034249,0.00237
896,896,0.034995,0.002475
897,897,0.034386,0.0024
898,898,0.035057,0.002494
899,899,0.036109,0.002644
900,900,0.036163,0.002636
901,901,0.037876,0.002882
902,902,0.037926,0.002873
903,903,0.038756,0.002993
904,904,0.03922,0.003057
905,905,0.040457,0.003246
906,906,0.039895,0.003172
907,907,0.040567,0.003259
908,908,0.041167,0.003357
909,909,0.041865,0.003468
910,910,0.042845,0.003619
911,911,0.040689,0.003276
912,912,0.041112,0.003346
913,913,0.040687,0.00328
914,914,0.041249,0.003379
915,915,0.041846,0.003481
916,916,0.042126,0.003521
917,917,0.042087,0.003519
918,918,0.039512,0.003103
919,919,0.040792,0.003307
920,920,0.03706,0.002742
921,921,0.037002,0.002744
922,922,0.038057,0.002895
923,923,0.038256,0.00293
924,924,0.037516,0.002822
925,925,0.037439,0.002814
926,926,0.037793,0.002867
927,927,0.038122,0.002916
928,928,0.038048,0.002912
929,929,0.038937,0.003033
930,930,0.039904,0.00318
931,931,0.039984,0.003194
932,932,0.040696,0.003302
933,933,0.041117,0.003379
934,934,0.041807,0.003494
935,935,0.041543,0.003454
936,936,0.041411,0.003425
937,937,0.042317,0.003584
938,938,0.043716,0.003825
939,939,0.042061,0.003548
940,940,0.0426,0.003629
941,941,0.042774,0.003658
942,942,0.040396,0.003278
943,943,0.040731,0.003329
944,944,0.041265,0.003417
945,945,0.04264,0.003636
946,946,0.043167,0.003722
947,947,0.044456,0.003932
948,948,0.045772,0.004158
949,949,0.045085,0.004057
950,950,0.044153,0.003898
951,951,0.045332,0.0041
952,952,0.046193,0.004253
953,953,0.045711,0.004274
954,954,0.046549,0.004426
955,955,0.046383,0.004409
956,956,0.047042,0.004538
957,957,0.04819,0.004772
958,958,0.047607,0.004663
959,959,0.048169,0.004758
960,960,0.046964,0.004531
961,961,0.047719,0.004677
962,962,0.047706,0.004685
963,963,0.048049,0.00466
964,964,0.047736,0.004584
965,965,0.048663,0.004752
966,966,0.048946,0.004795
967,967,0.04896,0.004795
968,968,0.050008,0.004994
969,969,0.051038,0.005192
970,970,0.051698,0.005313
971,971,0.052992,0.005574
972,972,0.05351,0.005679
973,973,0.051472,0.005253
974,974,0.05153,0.005268
975,975,0.048341,0.004686
976,976,0.046989,0.004441
977,977,0.047624,0.004549
978,978,0.045068,0.004084
979,979,0.044683,0.004021
980,980,0.043248,0.003764
981,981,0.044329,0.003954
982,982,0.044119,0.003918
983,983,0.044891,0.004037
984,984,0.045781,0.004215
985,985,0.044611,0.004015
986,986,0.044692,0.004034
987,987,0.044691,0.004034
988,988,0.044549,0.00401
989,989,0.045863,0.004235
990,990,0.045421,0.00416
991,991,0.046454,0.004332
992,992,0.046584,0.004353
993,993,0.048038,0.004625
994,994,0.04734,0.004495
995,995,0.04699,0.00443
996,996,0.044124,0.003923
997,997,0.045324,0.004131
998,998,0.04168,0.003518
999,999,0.041238,0.003436
1000,1000,0.040957,0.003398
1001,1001,0.040931,0.003418
1002,1002,0.04238,0.003655
1003,1003,0.043151,0.003781
1004,1004,0.044183,0.003959
1005,1005,0.045287,0.004152
1006,1006,0.045039,0.004119
1007,1007,0.041059,0.00345
1008,1008,0.042575,0.0037
1009,1009,0.042633,0.003721
1010,1010,0.043379,0.003838
1011,1011,0.042423,0.003677
1012,1012,0.043062,0.003718
1013,1013,0.044138,0.003898
1014,1014,0.044958,0.004051
1015,1015,0.04505,0.004068
1016,1016,0.046396,0.004288
1017,1017,0.045924,0.004209
1018,1018,0.046566,0.004325
1019,1019,0.045926,0.004173
1020,1020,0.046873,0.004343
1021,1021,0.047102,0.004381
1022,1022,0.047555,0.004471
1023,1023,0.048346,0.00462
1024,1024,0.04595,0.004202
1025,1025,0.04666,0.004329
1026,1026,0.047475,0.004485
1027,1027,0.048059,0.004599
1028,1028,0.048748,0.004727
1029,1029,0.04977,0.004898
1030,1030,0.050161,0.004975
1031,1031,0.047676,0.004512
1032,1032,0.047353,0.004447
1033,1033,0.046682,0.004328
1034,1034,0.04651,0.004306
1035,1035,0.047528,0.004489
1036,1036,0.046082,0.004235
1037,1037,0.046577,0.004333
1038,1038,0.046837,0.004373
1039,1039,0.048003,0.004587
1040,1040,0.046066,0.004162
1041,1041,0.046472,0.004219
1042,1042,0.046286,0.004188
1043,1043,0.047284,0.004364
1044,1044,0.045742,0.004089
1045,1045,0.045114,0.003995
1046,1046,0.046288,0.004206
1047,1047,0.044132,0.003838
1048,1048,0.044395,0.003896
1049,1049,0.045269,0.004065
1050,1050,0.045732,0.004147
1051,1051,0.046536,0.004283
1052,1052,0.047632,0.004481
1053,1053,0.047693,0.00449
1054,1054,0.048578,0.004653
1055,1055,0.049204,0.004772
1056,1056,0.048606,0.004667
1057,1057,0.044086,0.00387
1058,1058,0.043127,0.00371
1059,1059,0.043845,0.003818
1060,1060,0.043312,0.00373
1061,1061,0.042837,0.003659
1062,1062,0.043231,0.003734
1063,1063,0.044095,0.003881
1064,1064,0.042811,0.00367
1065,1065,0.042905,0.003691
1066,1066,0.042143,0.003556
1067,1067,0.04243,0.003611
1068,1068,0.043435,0.003773
1069,1069,0.041659,0.003472
1070,1070,0.042554,0.003622
1071,1071,0.041756,0.003492
1072,1072,0.042922,0.003682
1073,1073,0.043842,0.003847
1074,1074,0.044293,0.003922
1075,1075,0.041402,0.003454
1076,1076,0.038028,0.002939
1077,1077,0.038369,0.002986
1078,1078,0.038298,0.002982
1079,1079,0.039043,0.003096
1080,1080,0.039321,0.003145
1081,1081,0.038111,0.002972
1082,1082,0.038684,0.003057
1083,1083,0.03699,0.002804
1084,1084,0.036736,0.002744
1085,1085,0.036743,0.002747
1086,1086,0.036033,0.002644
1087,1087,0.037289,0.002824
1088,1088,0.037612,0.002867
1089,1089,0.037486,0.002845
1090,1090,0.034869,0.002468
1091,1091,0.030836,0.001952
1092,1092,0.030933,0.001967
1093,1093,0.03188,0.002089
1094,1094,0.032692,0.002195
1095,1095,0.033267,0.002271
1096,1096,0.031904,0.002098
1097,1097,0.031937,0.002108
1098,1098,0.029278,0.001783
1099,1099,0.028289,0.001666
1100,1100,0.027348,0.00156
1101,1101,0.027098,0.001528
1102,1102,0.027947,0.00163
1103,1103,0.028042,0.001645
1104,1104,0.028353,0.001681
1105,1105,0.02883,0.001733
1106,1106,0.027518,0.001583
1107,1107,0.027423,0.001561
1108,1108,0.024854,0.001285
1109,1109,0.024145,0.001212
1110,1110,0.024866,0.001281
1111,1111,0.024879,0.001282
1112,1112,0.024278,0.001228
1113,1113,0.024879,0.001286
1114,1114,0.024936,0.001291
